"X";"Y";"Z";"PZ";"DZ";"PX";"DX";
"-1158.04";"1636.53";"-353.414";"-176.707";"29.2521";"-579.022";"210.592";"1.55579e-307";
"-1163.03";"1632.07";"-361.855";"-180.928";"30.8464";"-581.515";"212.21";"1.55579e-307";
"-1167.09";"1628.31";"-368.59";"-184.295";"32.3984";"-583.544";"213.751";"1.55579e-307";
"-1171.16";"1624.72";"-375.242";"-187.621";"33.9174";"-585.58";"215.233";"1.55579e-307";
"-1175.96";"1620.38";"-383.273";"-191.637";"35.4062";"-587.979";"216.657";"1.55579e-307";
"-1180.23";"1617.12";"-389.564";"-194.782";"36.8726";"-590.116";"218.03";"1.55579e-307";
"-1184.96";"1613.18";"-397.309";"-198.655";"38.2944";"-592.481";"219.331";"1.55579e-307";
"-1189.37";"1609.87";"-403.459";"-201.73";"39.695";"-594.687";"220.588";"1.55579e-307";
"-1193.77";"1607.08";"-409.289";"-204.644";"41.0705";"-596.884";"221.802";"1.55579e-307";
"-1198.16";"1603.78";"-415.02";"-207.51";"42.4207";"-599.077";"222.978";"1.55579e-307";
"-1203.88";"1600.27";"-421.847";"-210.924";"43.7335";"-601.94";"224.106";"1.55579e-307";
"-1208.66";"1597.52";"-427.034";"-213.517";"45.0286";"-604.33";"225.214";"1.55579e-307";
"-1214.61";"1594.14";"-433.384";"-216.692";"46.2993";"-607.307";"226.301";"1.55579e-307";
"-1219.25";"1591.42";"-438.052";"-219.026";"47.54";"-609.624";"227.362";"1.55579e-307";
"-1223.86";"1588.62";"-442.467";"-221.234";"48.7558";"-611.93";"228.408";"1.55579e-307";
"-1229.76";"1585.02";"-447.963";"-223.982";"49.9352";"-614.878";"229.431";"1.55579e-307";
"-1234.13";"1582.36";"-451.922";"-225.961";"51.0946";"-617.066";"230.45";"1.55579e-307";
"-1238.45";"1579.55";"-455.713";"-227.856";"52.2277";"-619.226";"231.458";"1.55579e-307";
"-1243.74";"1576.06";"-460.248";"-230.124";"53.3228";"-621.87";"232.448";"1.55579e-307";
"-1248.06";"1573.22";"-463.627";"-231.814";"54.3947";"-624.029";"233.433";"1.55579e-307";
"-1252.76";"1570.58";"-466.79";"-233.395";"55.4283";"-626.382";"234.401";"1.55579e-307";
"-1258.63";"1567.16";"-470.555";"-235.278";"56.4341";"-629.314";"235.366";"1.55579e-307";
"-1263.5";"1564.57";"-473.034";"-236.517";"57.4059";"-631.752";"236.328";"1.55579e-307";
"-1268.68";"1562.04";"-475.268";"-237.634";"58.3494";"-634.339";"237.289";"1.55579e-307";
"-1275.41";"1559.36";"-477.72";"-238.86";"59.2557";"-637.704";"238.244";"1.55579e-307";
"-1281.18";"1557.29";"-479.206";"-239.603";"60.1366";"-640.589";"239.212";"1.55579e-307";
"-1286.99";"1555.57";"-480.349";"-240.175";"60.9791";"-643.495";"240.178";"1.55579e-307";
"-1294.81";"1554.03";"-481.132";"-240.566";"61.7934";"-647.404";"241.153";"1.55579e-307";
"-1301.37";"1552.71";"-481.572";"-240.786";"62.5695";"-650.685";"242.143";"1.55579e-307";
"-1308.15";"1551.58";"-481.6";"-240.8";"63.3153";"-654.077";"243.144";"1.55579e-307";
"-1316.78";"1550.4";"-481.342";"-240.671";"64.0289";"-658.389";"244.161";"1.55579e-307";
"-1323.94";"1548.92";"-480.991";"-240.496";"64.7021";"-661.97";"245.199";"1.55579e-307";
